"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Navigation & Session","0","Performance","1","0","A degraded backend does not break the sign-in journey","0"
"0","Checkout","0","Order totals","1","0","Item total, tax and grand total are calculated correctly","0"
"0","","74","","0","0","","0"
"0","Checkout","0","Form validation","4","0","All shopper detail fields are mandatory","0"
"0","Shopping Cart","0","Cart persistence","1","0","The cart is preserved while the shopper keeps browsing","0"
"0","Checkout","0","Abandonment","1","0","A shopper can back out of checkout without losing the cart","0"
"0","Navigation & Session","0","Known defects","1","0","The problem_user account renders identical images for every product","0"
"0","Authentication","0","Sign in","1","0","Credentials that match no account are rejected","0"
"0","Authentication","0","Form validation","1","0","A shopper can dismiss a login error and retry","0"
"0","Navigation & Session","0","Side menu","1","0","A shopper can open the navigation drawer","0"
"0","Product Catalogue","0","Catalogue listing","1","0","All products are listed with name, description, price and image","0"
"0","Authentication","0","Access control","1","0","Protected pages reject unauthenticated access","0"
"0","Product Catalogue","0","Sorting","2","0","Products can be ordered by name","0"
"0","Product Catalogue","0","Product details","1","0","A shopper can return to the catalogue from a product page","0"
"0","Product Catalogue","0","Sorting","2","0","Products can be ordered by price","0"
"0","Product Catalogue","0","Catalogue listing","1","0","Displayed product data matches the expected catalogue","0"
"0","Navigation & Session","0","Side menu","1","0","A shopper can reach the catalogue from anywhere","0"
"0","Authentication","0","Form validation","2","0","Both credential fields are mandatory","0"
"0","Product Catalogue","0","Product details","1","0","A shopper can add to the cart without returning to the catalogue","0"
"0","Product Catalogue","0","Sorting","1","0","The catalogue has a predictable default order","0"
"0","Checkout","0","Order placement","1","0","A shopper can buy products from catalogue to confirmation","0"
"0","Shopping Cart","0","Add to cart","1","0","The cart accumulates multiple products","0"
"0","Shopping Cart","0","Remove from cart","1","0","An emptied cart shows no badge and no line items","0"
"0","Product Catalogue","0","Product details","1","0","A shopper can open a product and see consistent information","0"
"0","Shopping Cart","0","Cart persistence","1","0","A first-time shopper sees an empty cart","0"
"0","Authentication","0","Sign in","1","0","A registered shopper can sign in with valid credentials","0"
"0","Checkout","0","Abandonment","1","0","A shopper can abandon the final step without losing the cart","0"
"0","Navigation & Session","0","Side menu","1","0","A shopper can reset the application state","0"
"0","Navigation & Session","0","Session","1","0","Logging out terminates the session","0"
"0","Authentication","0","Sign in","1","0","A disabled account cannot sign in","0"
"0","Shopping Cart","0","Remove from cart","1","0","A shopper can remove a line item from the cart","0"
"0","Shopping Cart","0","Add to cart","1","0","A shopper can add a product and see it in the cart","0"
